AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.19;0.12;0;0;4743
0.994;0.428;0;0;4946
1.374;0.592;0;0;3183
5.179;2.186;0;0;4915
0.304;0.15;0;0;4837
0.541;0.252;0;0;4821
0.345;0.226;0;0;5008
0.211;0.14;0;0;4072
0.607;0.364;0;0;3230
0.429;0.178;0;0;4899
0.362;0.216;0;0;3214
1.704;1.008;0;0;4946
1.766;0.884;0;0;3292
0.22;0.116;0;0;4915
0.332;0.174;0;0;3261
5.387;2.208;0;0;4868
0.323;0.196;0;0;5008
0.208;0.132;0;0;3370
6.06;1.996;0;0;4977
0.838;0.32;0;0;3261
0.274;0.126;0;0;4743
0.48;0.274;0;0;4946
0.308;0.176;0;0;4961
0.999;0.354;0;0;3401
0.201;0.098;0;0;3167
0.188;0.094;0;0;4649
0.471;0.284;0;0;4665
0.654;0.304;0;0;4868
0.296;0.176;0;0;3214
0.262;0.11;0;0;3230
0.248;0.114;0;0;4930
0.31;0.18;0;0;4977
0.319;0.178;0;0;4649
0.483;0.27;0;0;3230
0.323;0.136;0;0;3199
1.605;0.902;0;0;3230
0.152;0.104;0;0;3230
0.392;0.184;0;0;3386
0.271;0.126;0;0;4571
0.4;0.242;0;0;4665
0.835;0.332;0;0;4961
0.279;0.178;0;0;4837
0.279;0.178;0;0;3214
0.303;0.182;0;0;3214
0.325;0.142;0;0;4852
0.375;0.224;0;0;4103
0.683;0.406;0;0;4899
0.329;0.206;0;0;3245
0.289;0.136;0;0;4837
0.408;0.234;0;0;3183
0.13;0.062;0;0;4587
0.488;0.292;0;0;3277
0.079;0.05;0;0;4961
0.175;0.114;0;0;4634
0.463;0.274;0;0;4837
0.367;0.22;0;0;4665
0.377;0.222;0;0;4852
0.432;0.202;0;0;3167
0.217;0.096;0;0;3183
1.689;1.414;0;0;3011
0.128;0.094;0;0;6303
0.054;0.054;0;0;6927
1.5;0.634;0;0;3230
0.586;0.356;0;0;4993
0.144;0.068;0;0;5008
1.047;0.428;0;0;4961
